filename,title,id,slug,url,created,tags_before,tags_after
open-semantic-search.md,Open Semantic Search,DG-RSRCH-16,open-semantic-search,https://www.opensemanticsearch.org/,"August 31, 2025 2:51 PM",analytics;digital-humanities;elasticsearch;media-monitoring;r;search;solr;text-analytics,analytics;digital-humanities;elasticsearch;media-monitoring;r;search;solr;text-analytics
openalex.md,OpenAlex,DG-RSRCH-292,openalex,https://openalex.org,"August 31, 2025 6:26 PM",api;digital-humanities;open-data,api;digital-humanities;open-data
openarchive.md,OpenArchive,DG-RSRCH-2,openarchive,https://open-archive.org/,"August 31, 2025 2:51 PM",archiving;digital-humanities;media;mobile;privacy;r,archiving;digital-humanities;media;mobile;privacy;r
openrefine.md,OpenRefine,DG-RSRCH-308,openrefine,https://openrefine.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
palladio.md,Palladio,DG-RSRCH-103,palladio,https://hdlab.stanford.edu/palladio/,"August 31, 2025 2:51 PM",digital-humanities;visualization,digital-humanities;visualization
pandoc.md,Pandoc,DG-RSRCH-309,pandoc,https://pandoc.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
parthenos-training.md,PARTHENOS Training,DG-RSRCH-97,parthenos-training,https://training.parthenos-project.eu/,"August 31, 2025 2:51 PM",digital-humanities;infrastructure;modules;r;training,digital-humanities;infrastructure;modules;r;training
perseus-digital-library.md,Perseus Digital Library,DG-RSRCH-299,perseus-digital-library,http://www.perseus.tufts.edu,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
perspectives-on-history.md,Perspectives on History,DG-RSRCH-70,perspectives-on-history,https://www.historians.org/community-careers/digital-history-resources/,"August 31, 2025 2:51 PM",aha;digital-humanities;guide;resources,aha;digital-humanities;guide;resources
philarchive.md,PhilArchive,DG-RSRCH-291,philarchive,https://philarchive.org,"August 31, 2025 6:26 PM",digital-humanities;open-access,digital-humanities;open-access
philpapers.md,PhilPapers,DG-RSRCH-290,philpapers,https://philpapers.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
poppler.md,Poppler,DG-RSRCH-24,poppler,https://poppler.freedesktop.org/,"August 31, 2025 2:51 PM",converter;digital-humanities;pdf;r;toolkit;viewer,converter;digital-humanities;pdf;r;toolkit;viewer
project-gutenberg.md,Project Gutenberg,DG-RSRCH-298,project-gutenberg,https://gutenberg.org,"August 31, 2025 6:26 PM",digital-humanities,digital-humanities
pubpub.md,PubPub,DG-RSRCH-328,pubpub,https://www.pubpub.org,"August 31, 2025 6:26 PM",digital-humanities;publishing,digital-humanities;publishing
qgis.md,QGIS,DG-RSRCH-316,qgis,https://qgis.org,"August 31, 2025 6:26 PM",desktop;digital-humanities,desktop;digital-humanities
qpdf.md,QPDF,DG-RSRCH-25,qpdf,http://qpdf.sourceforge.net/,"August 31, 2025 2:51 PM",converter;digital-humanities;pdf;r;toolkit;viewer,converter;digital-humanities;pdf;r;toolkit;viewer
quarto.md,Quarto,DG-RSRCH-321,quarto,https://quarto.org,"August 31, 2025 6:26 PM",digital-humanities;notebooks;publishing;python;r,digital-humanities;notebooks;publishing;python;r
rawgraphs.md,RAWGraphs,DG-RSRCH-104,rawgraphs,https://rawgraphs.io/,"August 31, 2025 2:51 PM",digital-humanities;r;visualization,digital-humanities;r;visualization
recogito.md,Recogito,DG-RSRCH-29,recogito,https://recogito.pelagios.org/,"August 31, 2025 2:51 PM",annotation;collaboration;digital-humanities;geo;r;semantic,annotation;collaboration;digital-humanities;geo;r;semantic
roy-rosenzweig-center-for-history-and-new-media.md,Roy Rosenzweig Center for History and New Media,DG-RSRCH-38,roy-rosenzweig-center-for-history-and-new-media,https://rrchnm.org/,"August 31, 2025 2:51 PM",austria;center;dh;digital-humanities;institute;luxembourg;organization;r;switzerland;zotero,austria;center;dh;digital-humanities;institute;luxembourg;organization;r;switzerland;zotero
scalar.md,Scalar,DG-RSRCH-327,scalar,https://scalar.usc.edu,"August 31, 2025 6:26 PM",digital-humanities;publishing,digital-humanities;publishing
social-feed-manager.md,Social Feed Manager,DG-RSRCH-4,social-feed-manager,https://gwu-libraries.github.io/sfm-ui/,"August 31, 2025 2:51 PM",digital-humanities;flickr;harvesting;r;social-media;tumblr;twitter;weibo,digital-humanities;flickr;harvesting;r;social-media;tumblr;twitter;weibo
social-sciences-humanities-open-marketplace.md,Social Sciences & Humanities Open Marketplace,DG-RSRCH-65,social-sciences-humanities-open-marketplace,https://marketplace.sshopencloud.eu/,"August 31, 2025 2:51 PM",digital-humanities;marketplace;r;ssh,digital-humanities;marketplace;r;ssh
spacy.md,spaCy,DG-RSRCH-305,spacy,https://spacy.io,"August 31, 2025 6:26 PM",digital-humanities;nlp;python,digital-humanities;nlp;python
